scenario,config,month,rev_sales_moto_retail,rev_sales_ebike_retail,rev_sales_rider,rev_b2b_wholesale,rev_parts,rev_rental,rev_battery_sub,rev_service,rev_total,cogs_total,gross_profit,opex_staff,opex_occupancy,opex_insurance,opex_security,opex_marketing,opex_fleet_variable,opex_payment_fees,opex_gna_permits,opex_van,opex_inventory_carry,opex_total,ebitda,depreciation,operating_profit,capex,working_capital_change,net_cash,cum_cash,units_moto,units_ebike,units_b2b,rider_customers,rentals_active,rental_fleet,battery_subs,battery_pool_packs,installed_base,inventory_value,fte
base,ceres_8000,16,53666.67,21666.67,9890.03,22720.00,2861.60,4772.04,1621.33,5242.21,122440.55,78785.29,43655.25,21786.25,10406.45,2352.00,500.00,2917.33,1509.48,3984.99,1450,700,1118.88,46725.39,-3070.13,4522.61,-7592.74,3052.55,4337.17,-10196.97,-522350.97,12.19,11.65,8.00,50.67,17.73,24.00,20.27,30.40,292.41,111888.10,3.50
base,ceres_8000,17,55583.33,22083.33,10164.03,24140.00,2943.28,5023.20,1706.67,5586.70,127230.54,81888.49,45342.05,21820.29,10406.45,2375.00,500.00,2938.67,1574.99,4117.64,1450,700,1162.25,47045.29,-1703.24,4583.51,-6286.75,3090.17,4337.17,-8856.74,-531207.72,12.62,11.90,8.50,53.33,18.67,25.00,21.33,32.00,316.25,116225.27,3.50
base,ceres_8000,18,57500.00,22500.00,10438.02,25560.00,3024.96,5274.36,1792.00,5939.36,132028.70,85002.57,47026.13,21854.32,10406.45,2421.00,500.00,2960.00,1693.46,4250.57,1450,700,1205.62,47441.42,-415.29,4678.63,-5093.92,4781.74,4337.17,-9238.46,-540446.18,13.06,12.15,9.00,56.00,19.60,27.00,22.40,33.60,340.78,120562.44,3.50
base,ceres_8000,19,59416.67,22916.67,10712.01,26980.00,3106.64,5525.52,1877.33,6300.19,136835.03,88113.12,48721.91,21888.35,10406.45,2444.00,500.00,2981.33,1758.97,4383.77,1450,700,1249.00,47761.88,960.03,4739.53,-3779.50,3176.36,4337.17,-6246.80,-546692.98,13.49,12.40,9.50,58.67,20.53,28.00,23.47,35.20,365.99,124899.61,3.50
base,ceres_8000,20,61333.33,23333.33,10986.01,28400.00,3188.32,5776.68,1962.67,6669.19,141649.53,91227.35,50422.18,21922.39,10406.45,2467.00,500.00,3002.67,1824.48,4517.26,1450,700,1292.37,48082.61,2339.57,4800.42,-2460.86,3213.98,4337.17,-4893.94,-551586.92,13.92,12.65,10.00,61.33,21.47,29.00,24.53,36.80,391.88,129236.78,3.50
base,ceres_8000,21,63250.00,23750.00,11260.00,29820.00,3270.00,6027.84,2048.00,7046.35,146472.19,94345.25,52126.94,21956.42,10406.45,2490.00,500.00,3024.00,1889.99,4651.02,1450,700,1335.74,48403.62,3723.32,4861.32,-1138.00,3251.60,4337.17,-3536.85,-555123.77,14.35,12.90,10.50,64.00,22.40,30.00,25.60,38.40,418.45,133573.95,3.50
base,ceres_8000,22,65166.67,24166.67,11533.99,31240.00,3351.68,6279.00,2133.33,7431.69,151303.03,97474.03,53829.00,21990.45,10406.45,2536.00,500.00,3045.33,2008.46,4785.06,1450,700,1379.11,48800.87,5028.13,4956.44,71.69,4943.17,4337.17,-3901.71,-559025.47,14.78,13.15,11.00,66.67,23.33,32.00,26.67,40.00,445.70,137911.12,3.50
base,ceres_8000,23,67083.33,24583.33,11807.99,32660.00,3433.36,6530.16,2218.67,7825.19,156142.03,100599.28,55542.74,22024.49,10406.45,2559.00,500.00,3066.67,2073.97,4919.38,1450,700,1422.48,49122.43,6420.31,5017.34,1402.97,3337.79,4337.17,-893.19,-559918.67,15.21,13.40,11.50,69.33,24.27,33.00,27.73,41.60,473.63,142248.29,3.50
base,ceres_8000,24,69000.00,25000.00,12081.98,34080.00,3515.04,6781.32,2304.00,8226.86,160989.20,103728.21,57260.98,22058.52,10406.45,2582.00,500.00,3088.00,2139.48,5053.97,1450,700,1465.85,49444.28,7816.70,5078.24,2738.47,3375.41,4337.17,476.53,-559442.13,15.64,13.65,12.00,72.00,25.20,34.00,28.80,43.20,502.24,146585.46,3.50
base,ceres_8000,25,70150.00,25416.67,11736.20,35026.67,3550.30,7001.08,2378.67,8603.36,163862.95,105520.83,58342.11,22073.21,10653.65,2605.00,500.00,3042.67,2203.42,5127.87,1450,700,1489.74,49845.56,8496.55,5135.80,3360.76,3329.70,2388.85,3161.37,-556280.76,15.88,13.71,12.33,74.33,26.02,35.00,29.73,44.60,531.53,148974.31,3.50
base,ceres_8000,26,71300.00,25833.33,11975.95,35973.33,3610.52,7220.85,2453.33,8983.39,167350.71,107699.78,59650.93,22098.30,10653.65,2628.00,500.00,3061.33,2267.36,5226.79,1450,700,1519.20,50104.64,9546.29,5193.36,4352.93,3363.99,2945.37,3631.26,-552649.51,16.14,13.95,12.67,76.67,26.83,36.00,30.67,46.00,561.12,151919.68,3.50
base,ceres_8000,27,72450.00,26250.00,12215.69,36920.00,3670.74,7440.61,2528.00,9369.44,170844.49,109881.43,60963.06,22123.40,10653.65,2651.00,500.00,3080.00,2331.30,5325.92,1450,700,1548.65,50363.92,10599.14,5250.92,5348.21,3398.27,2945.37,4660.77,-547988.74,16.40,14.19,13.00,79.00,27.65,37.00,31.60,47.40,591.20,154865.05,3.50
base,ceres_8000,28,73600.00,26666.67,12455.44,37866.67,3730.96,7660.38,2602.67,9761.52,174344.29,112065.80,62278.49,22148.49,10653.65,2674.00,500.00,3098.67,2395.25,5425.25,1450,700,1578.10,50623.41,11655.09,5308.49,6346.60,3432.56,2945.37,5693.39,-542295.35,16.66,14.43,13.33,81.33,28.47,38.00,32.53,48.80,621.79,157810.42,3.50
base,ceres_8000,29,74750.00,27083.33,12695.18,38813.33,3791.18,7880.14,2677.33,10159.61,177850.12,114260.07,63590.04,22173.58,10653.65,2720.00,500.00,3117.33,2512.14,5524.79,1450,700,1607.56,50959.05,12630.99,5400.28,7230.71,5120.80,2945.37,5002.96,-537292.40,16.93,14.67,13.67,83.67,29.28,40.00,33.47,50.20,652.88,160755.78,3.50
base,ceres_8000,30,75900.00,27500.00,12934.92,39760.00,3851.40,8099.91,2752.00,10563.73,181361.96,116449.86,64912.11,22198.67,10653.65,2743.00,500.00,3136.00,2576.08,5624.53,1450,700,1637.01,51218.95,13693.16,5457.84,8235.32,3512.09,2945.37,7684.79,-529607.60,17.19,14.91,14.00,86.00,30.10,41.00,34.40,51.60,684.48,163701.15,3.50
base,ceres_8000,31,77050.00,27916.67,13174.67,40706.67,3911.62,8319.67,2826.67,10973.87,184879.83,118642.35,66237.48,22223.76,10653.65,2766.00,500.00,3154.67,2640.02,5724.48,1450,700,1666.47,51479.05,14758.43,5515.40,9243.03,3546.37,2945.37,8726.73,-520880.87,17.45,15.14,14.33,88.33,30.92,42.00,35.33,53.00,716.57,166646.52,3.50
base,ceres_8000,32,78200.00,28333.33,13414.41,41653.33,3971.84,8539.44,2901.33,11390.03,188403.73,120837.56,67566.17,22248.85,10653.65,2789.00,500.00,3173.33,2703.97,5824.63,1450,700,1695.92,51739.35,15826.81,5572.97,10253.85,3580.66,2945.37,9771.78,-511109.09,17.71,15.38,14.67,90.67,31.73,43.00,36.27,54.40,749.17,169591.89,3.50
base,ceres_8000,33,79350.00,28750.00,13654.16,42600.00,4032.06,8759.20,2976.00,11812.22,191933.64,123035.47,68898.17,22273.95,10653.65,2812.00,500.00,3192.00,2767.91,5924.99,1450,700,1725.37,51999.86,16898.30,5630.53,11267.77,3614.95,2945.37,10819.93,-500289.16,17.98,15.62,15.00,93.00,32.55,44.00,37.20,55.80,782.27,172537.26,3.50
base,ceres_8000,34,80500.00,29166.67,13893.90,43546.67,4092.28,8978.97,3050.67,12240.42,195469.57,125236.10,70233.48,22299.04,10653.65,2835.00,500.00,3210.67,2831.85,6025.55,1450,700,1754.83,52260.58,17972.90,5688.09,12284.81,3649.23,2945.37,11871.20,-488417.96,18.24,15.86,15.33,95.33,33.37,45.00,38.13,57.20,815.87,175482.62,3.50
base,ceres_8000,35,81650.00,29583.33,14133.65,44493.33,4152.50,9198.73,3125.33,12674.65,199011.53,127439.43,71572.10,22324.13,10653.65,2858.00,500.00,3229.33,2895.79,6126.32,1450,700,1784.28,52521.50,19050.60,5745.65,13304.95,3683.52,2945.37,12925.57,-475492.39,18.50,16.10,15.67,97.67,34.18,46.00,39.07,58.60,849.97,178427.99,3.50
base,ceres_8000,36,82800.00,30000.00,14373.39,45440.00,4212.72,9418.50,3200.00,13114.90,202559.51,129645.47,72914.04,22349.22,10653.65,2881.00,500.00,3248.00,2959.73,6227.29,1450,700,1813.73,52782.62,20131.41,5803.22,14328.20,3717.81,2945.37,13983.04,-461509.35,18.77,16.34,16.00,100.00,35.00,47.00,40.00,60.00,884.57,181373.36,3.50
base,corridor_7500,1,4600.00,2500.00,6197.69,946.67,504.20,313.95,106.67,853.33,16022.51,10136.52,5885.99,17703.84,1845.00,2145.00,400.00,10666.67,810.00,606.13,1450,0.00,341.48,35968.11,-30082.12,2907.88,-32990.00,110642.63,49148.00,-189708.45,-189708.45,1.33,2.87,0.33,3.33,1.17,15.00,1.33,2.00,60,34148.00,3
base,corridor_7500,2,9200.00,5000.00,6540.18,1893.33,758.80,627.90,213.33,1037.09,25270.64,16016.35,9254.29,17809.93,9345.00,2145.00,400.00,2693.33,825.69,940.40,1450,0.00,341.48,35950.83,-26696.54,2941.22,-29637.75,1030.97,0.00,-27563.21,-217271.66,2.35,3.97,0.67,6.67,2.33,15.00,2.67,4.00,64.20,34148.00,3
base,corridor_7500,3,13800.00,7500.00,6882.67,2840.00,1013.40,941.85,320.00,1246.30,34544.23,21907.63,12636.59,17916.01,9345.00,2145.00,400.00,2720.00,841.39,1275.53,1450,0.00,341.48,36434.41,-23797.82,2974.55,-26772.37,1064.30,0.00,-24697.82,-241969.48,3.37,5.08,1.00,10.00,3.50,15.00,4.00,6.00,70.53,34148.00,3
base,corridor_7500,4,18400.00,9166.67,7225.17,3786.67,1228.00,1255.80,426.67,1480.97,42969.94,27271.71,15698.23,18005.43,9345.00,2145.00,400.00,2746.67,857.09,1575.89,1450,0.00,390.51,36915.58,-21217.35,3007.88,-24225.23,1097.63,4902.87,-27053.55,-269023.03,4.38,5.85,1.33,13.33,4.67,15.00,5.33,8.00,78.97,39050.87,3
base,corridor_7500,5,23000.00,10833.33,7567.66,4733.33,1442.60,1569.75,533.33,1737.11,51417.11,32645.44,18771.67,18094.84,9345.00,2145.00,400.00,2773.33,872.79,1876.98,1450,0.00,464.00,37421.94,-18650.27,3041.22,-21691.48,1130.97,7349.40,-26966.34,-295989.37,5.40,6.62,1.67,16.67,5.83,15.00,6.67,10.00,89.20,46400.27,3
base,corridor_7500,6,27600.00,12500.00,7910.15,5680.00,1657.20,1883.70,640.00,2014.70,59885.75,38028.83,21856.92,18184.26,9345.00,2145.00,400.00,2800.00,888.48,2178.79,1450,700,541.02,38632.56,-16775.64,3907.88,-20683.52,31164.30,7702.03,-55477.67,-351467.03,6.42,7.39,2.00,20.00,7.00,15.00,8.00,12.00,101.22,54102.30,3
base,corridor_7500,7,30666.67,13750.00,8252.64,7573.33,1811.80,2197.65,746.67,2297.09,67295.85,42863.38,24432.47,18248.68,9345.00,2145.00,400.00,2826.67,904.18,2398.81,1450,700,610.27,39028.61,-14596.15,3941.22,-18537.36,1197.63,6925.03,-22554.51,-374021.54,7.11,7.99,2.67,23.33,8.17,15.00,9.33,14.00,115.03,61027.32,3
base,corridor_7500,8,33733.33,15000.00,8595.13,9466.67,1966.40,2511.60,853.33,2594.93,74721.40,47704.88,27016.52,18313.09,9345.00,2145.00,400.00,2853.33,919.88,2619.36,1450,700,679.52,39425.19,-12408.68,3974.55,-16383.22,1230.97,6925.03,-20400.37,-394421.91,7.79,8.60,3.33,26.67,9.33,15.00,10.67,16.00,130.13,67952.35,3
base,corridor_7500,9,36800.00,16250.00,8937.62,11360.00,2121.00,2825.55,960.00,2908.24,82162.42,52553.35,29609.07,18377.51,9345.00,2145.00,400.00,2880.00,935.58,2840.43,1450,700,748.77,39822.30,-10213.23,4007.88,-14221.11,1264.30,6925.03,-18238.25,-412660.16,8.48,9.20,4.00,30.00,10.50,15.00,12.00,18.00,146.52,74877.37,3
base,corridor_7500,10,39866.67,17500.00,9280.12,13253.33,2275.60,3139.50,1066.67,3237.01,89618.89,57415.96,32202.93,18441.93,9345.00,2168.00,400.00,2906.67,1004.23,3062.03,1450,700,818.02,40295.88,-8092.95,4075.44,-12168.40,2951.59,6925.03,-17794.31,-430454.47,9.16,9.80,4.67,33.33,11.67,16.00,13.33,20.00,164.19,81802.40,3
base,corridor_7500,11,42933.33,18750.00,9622.61,15146.67,2430.20,3453.45,1173.33,3581.23,97090.82,62292.74,34798.09,18506.34,9345.00,2214.00,400.00,2933.33,1125.83,3284.16,1450,700,887.27,40845.94,-6047.86,4177.24,-10225.09,4649.83,6925.03,-17425.55,-447880.02,9.85,10.41,5.33,36.67,12.83,18.00,14.67,22.00,183.16,88727.42,3
base,corridor_7500,12,46000.00,20000.00,9965.10,17040.00,2584.80,3767.40,1280.00,3940.92,104578.22,67169.27,37408.95,18570.76,9345.00,2237.00,400.00,2960.00,1194.48,3506.81,1450,700,956.52,41320.58,-3911.63,4244.80,-8156.43,3051.11,6925.03,-13679.65,-461559.67,10.53,11.01,6.00,40.00,14.00,19.00,16.00,24.00,203.41,95652.45,3
base,corridor_7500,13,47916.67,20416.67,9068.05,18460.00,2616.56,4018.56,1365.33,4257.73,108119.57,69490.54,38629.03,21684.15,9570.00,2260.00,400.00,2853.33,1259.99,3588.70,1450,700,988.77,44754.95,-6125.92,4305.69,-10431.61,2928.73,3224.14,-12059.72,-473619.40,10.90,10.90,6.50,42.67,14.93,20.00,17.07,25.60,224.95,98876.59,3.50
base,corridor_7500,14,49833.33,20833.33,9342.05,19880.00,2698.24,4269.72,1450.67,4577.72,112885.06,72589.92,40295.15,21718.19,9570.00,2306.00,400.00,2874.67,1378.46,3720.52,1450,700,1032.14,45149.97,-4854.82,4400.82,-9255.64,4620.31,4337.17,-13571.33,-487190.72,11.33,11.15,7.00,45.33,15.87,22.00,18.13,27.20,246.75,103213.76,3.50
base,corridor_7500,15,51750.00,21250.00,9616.04,21300.00,2779.92,4520.88,1536.00,4905.88,117658.72,75685.77,41972.95,21752.22,9570.00,2329.00,400.00,2896.00,1443.97,3852.61,1450,700,1075.51,45469.31,-3496.36,4461.72,-7958.08,3014.93,4337.17,-10596.53,-497787.25,11.76,11.40,7.50,48.00,16.80,23.00,19.20,28.80,269.24,107550.93,3.50
base,corridor_7500,16,53666.67,21666.67,9890.03,22720.00,2861.60,4772.04,1621.33,5242.21,122440.55,78785.29,43655.25,21786.25,9570.00,2352.00,400.00,2917.33,1509.48,3984.99,1450,700,1118.88,45788.94,-2133.68,4522.61,-6656.29,3052.55,4337.17,-9260.52,-507047.77,12.19,11.65,8.00,50.67,17.73,24.00,20.27,30.40,292.41,111888.10,3.50
base,corridor_7500,17,55583.33,22083.33,10164.03,24140.00,2943.28,5023.20,1706.67,5586.70,127230.54,81888.49,45342.05,21820.29,9570.00,2375.00,400.00,2938.67,1574.99,4117.64,1450,700,1162.25,46108.84,-766.79,4583.51,-5350.30,3090.17,4337.17,-7920.29,-514968.07,12.62,11.90,8.50,53.33,18.67,25.00,21.33,32.00,316.25,116225.27,3.50
base,corridor_7500,18,57500.00,22500.00,10438.02,25560.00,3024.96,5274.36,1792.00,5939.36,132028.70,85002.57,47026.13,21854.32,9570.00,2421.00,400.00,2960.00,1693.46,4250.57,1450,700,1205.62,46504.97,521.16,4678.63,-4157.47,4781.74,4337.17,-8302.01,-523270.08,13.06,12.15,9.00,56.00,19.60,27.00,22.40,33.60,340.78,120562.44,3.50
base,corridor_7500,19,59416.67,22916.67,10712.01,26980.00,3106.64,5525.52,1877.33,6300.19,136835.03,88113.12,48721.91,21888.35,9570.00,2444.00,400.00,2981.33,1758.97,4383.77,1450,700,1249.00,46825.43,1896.48,4739.53,-2843.05,3176.36,4337.17,-5310.35,-528580.43,13.49,12.40,9.50,58.67,20.53,28.00,23.47,35.20,365.99,124899.61,3.50
base,corridor_7500,20,61333.33,23333.33,10986.01,28400.00,3188.32,5776.68,1962.67,6669.19,141649.53,91227.35,50422.18,21922.39,9570.00,2467.00,400.00,3002.67,1824.48,4517.26,1450,700,1292.37,47146.16,3276.02,4800.42,-1524.41,3213.98,4337.17,-3957.49,-532537.92,13.92,12.65,10.00,61.33,21.47,29.00,24.53,36.80,391.88,129236.78,3.50
base,corridor_7500,21,63250.00,23750.00,11260.00,29820.00,3270.00,6027.84,2048.00,7046.35,146472.19,94345.25,52126.94,21956.42,9570.00,2490.00,400.00,3024.00,1889.99,4651.02,1450,700,1335.74,47467.17,4659.77,4861.32,-201.55,3251.60,4337.17,-2600.40,-535138.32,14.35,12.90,10.50,64.00,22.40,30.00,25.60,38.40,418.45,133573.95,3.50
base,corridor_7500,22,65166.67,24166.67,11533.99,31240.00,3351.68,6279.00,2133.33,7431.69,151303.03,97474.03,53829.00,21990.45,9570.00,2536.00,400.00,3045.33,2008.46,4785.06,1450,700,1379.11,47864.42,5964.58,4956.44,1008.14,4943.17,4337.17,-2965.26,-538103.57,14.78,13.15,11.00,66.67,23.33,32.00,26.67,40.00,445.70,137911.12,3.50
base,corridor_7500,23,67083.33,24583.33,11807.99,32660.00,3433.36,6530.16,2218.67,7825.19,156142.03,100599.28,55542.74,22024.49,9570.00,2559.00,400.00,3066.67,2073.97,4919.38,1450,700,1422.48,48185.98,7356.76,5017.34,2339.42,3337.79,4337.17,43.26,-538060.32,15.21,13.40,11.50,69.33,24.27,33.00,27.73,41.60,473.63,142248.29,3.50
base,corridor_7500,24,69000.00,25000.00,12081.98,34080.00,3515.04,6781.32,2304.00,8226.86,160989.20,103728.21,57260.98,22058.52,9570.00,2582.00,400.00,3088.00,2139.48,5053.97,1450,700,1465.85,48507.83,8753.15,5078.24,3674.92,3375.41,4337.17,1412.98,-536647.33,15.64,13.65,12.00,72.00,25.20,34.00,28.80,43.20,502.24,146585.46,3.50
base,corridor_7500,25,70150.00,25416.67,11736.20,35026.67,3550.30,7001.08,2378.67,8603.36,163862.95,105520.83,58342.11,22073.21,9801.75,2605.00,400.00,3042.67,2203.42,5127.87,1450,700,1489.74,48893.66,9448.45,5135.80,4312.66,3329.70,2388.85,4113.27,-532534.06,15.88,13.71,12.33,74.33,26.02,35.00,29.73,44.60,531.53,148974.31,3.50
base,corridor_7500,26,71300.00,25833.33,11975.95,35973.33,3610.52,7220.85,2453.33,8983.39,167350.71,107699.78,59650.93,22098.30,9801.75,2628.00,400.00,3061.33,2267.36,5226.79,1450,700,1519.20,49152.74,10498.19,5193.36,5304.83,3363.99,2945.37,4583.16,-527950.91,16.14,13.95,12.67,76.67,26.83,36.00,30.67,46.00,561.12,151919.68,3.50
base,corridor_7500,27,72450.00,26250.00,12215.69,36920.00,3670.74,7440.61,2528.00,9369.44,170844.49,109881.43,60963.06,22123.40,9801.75,2651.00,400.00,3080.00,2331.30,5325.92,1450,700,1548.65,49412.02,11551.04,5250.92,6300.11,3398.27,2945.37,5612.67,-522338.24,16.40,14.19,13.00,79.00,27.65,37.00,31.60,47.40,591.20,154865.05,3.50
base,corridor_7500,28,73600.00,26666.67,12455.44,37866.67,3730.96,7660.38,2602.67,9761.52,174344.29,112065.80,62278.49,22148.49,9801.75,2674.00,400.00,3098.67,2395.25,5425.25,1450,700,1578.10,49671.51,12606.99,5308.49,7298.50,3432.56,2945.37,6645.29,-515692.95,16.66,14.43,13.33,81.33,28.47,38.00,32.53,48.80,621.79,157810.42,3.50
base,corridor_7500,29,74750.00,27083.33,12695.18,38813.33,3791.18,7880.14,2677.33,10159.61,177850.12,114260.07,63590.04,22173.58,9801.75,2720.00,400.00,3117.33,2512.14,5524.79,1450,700,1607.56,50007.15,13582.89,5400.28,8182.61,5120.80,2945.37,5954.86,-509738.10,16.93,14.67,13.67,83.67,29.28,40.00,33.47,50.20,652.88,160755.78,3.50
base,corridor_7500,30,75900.00,27500.00,12934.92,39760.00,3851.40,8099.91,2752.00,10563.73,181361.96,116449.86,64912.11,22198.67,9801.75,2743.00,400.00,3136.00,2576.08,5624.53,1450,700,1637.01,50267.05,14645.06,5457.84,9187.22,3512.09,2945.37,8636.69,-501101.40,17.19,14.91,14.00,86.00,30.10,41.00,34.40,51.60,684.48,163701.15,3.50
base,corridor_7500,31,77050.00,27916.67,13174.67,40706.67,3911.62,8319.67,2826.67,10973.87,184879.83,118642.35,66237.48,22223.76,9801.75,2766.00,400.00,3154.67,2640.02,5724.48,1450,700,1666.47,50527.15,15710.33,5515.40,10194.93,3546.37,2945.37,9678.63,-491422.77,17.45,15.14,14.33,88.33,30.92,42.00,35.33,53.00,716.57,166646.52,3.50
base,corridor_7500,32,78200.00,28333.33,13414.41,41653.33,3971.84,8539.44,2901.33,11390.03,188403.73,120837.56,67566.17,22248.85,9801.75,2789.00,400.00,3173.33,2703.97,5824.63,1450,700,1695.92,50787.45,16778.71,5572.97,11205.75,3580.66,2945.37,10723.68,-480699.09,17.71,15.38,14.67,90.67,31.73,43.00,36.27,54.40,749.17,169591.89,3.50
base,corridor_7500,33,79350.00,28750.00,13654.16,42600.00,4032.06,8759.20,2976.00,11812.22,191933.64,123035.47,68898.17,22273.95,9801.75,2812.00,400.00,3192.00,2767.91,5924.99,1450,700,1725.37,51047.96,17850.20,5630.53,12219.67,3614.95,2945.37,11771.83,-468927.26,17.98,15.62,15.00,93.00,32.55,44.00,37.20,55.80,782.27,172537.26,3.50
base,corridor_7500,34,80500.00,29166.67,13893.90,43546.67,4092.28,8978.97,3050.67,12240.42,195469.57,125236.10,70233.48,22299.04,9801.75,2835.00,400.00,3210.67,2831.85,6025.55,1450,700,1754.83,51308.68,18924.80,5688.09,13236.71,3649.23,2945.37,12823.10,-456104.16,18.24,15.86,15.33,95.33,33.37,45.00,38.13,57.20,815.87,175482.62,3.50
base,corridor_7500,35,81650.00,29583.33,14133.65,44493.33,4152.50,9198.73,3125.33,12674.65,199011.53,127439.43,71572.10,22324.13,9801.75,2858.00,400.00,3229.33,2895.79,6126.32,1450,700,1784.28,51569.60,20002.50,5745.65,14256.85,3683.52,2945.37,13877.47,-442226.69,18.50,16.10,15.67,97.67,34.18,46.00,39.07,58.60,849.97,178427.99,3.50
base,corridor_7500,36,82800.00,30000.00,14373.39,45440.00,4212.72,9418.50,3200.00,13114.90,202559.51,129645.47,72914.04,22349.22,9801.75,2881.00,400.00,3248.00,2959.73,6227.29,1450,700,1813.73,51830.72,21083.31,5803.22,15280.10,3717.81,2945.37,14934.94,-427291.75,18.77,16.34,16.00,100.00,35.00,47.00,40.00,60.00,884.57,181373.36,3.50
aggressive,ceres_8000,1,7600.00,4320.00,15312.92,2533.00,1434.00,782.17,366.67,2940.00,35288.75,16221.82,19066.93,15383.59,700.00,1362.00,350.00,7166.67,355.12,1085.80,1200,0.00,221.29,27824.47,-8757.54,1430.56,-10188.10,57985.62,34555.00,-101256.50,-101256.50,2.79,5.18,0.80,6.67,2.00,10.00,3.67,4.40,150,26555.00,3
aggressive,ceres_8000,2,15200.00,8640.00,16083.92,5066.00,2053.20,1564.33,733.33,3323.40,52664.18,24352.92,28311.26,15555.59,8700.00,1362.00,350.00,2186.67,378.59,1577.05,1200,0.00,221.29,31531.18,-3219.92,1469.67,-4689.59,1527.88,0.00,-4706.14,-105962.64,4.45,6.96,1.60,13.33,4.00,10.00,7.33,8.80,157.97,26555.00,3
aggressive,ceres_8000,3,22800.00,12960.00,16854.92,7599.00,2672.40,2346.50,1100.00,3768.72,70101.54,32505.69,37595.85,15727.59,8700.00,1362.00,350.00,2206.67,402.05,2070.28,1200,0.00,248.78,32267.37,5328.48,1508.78,3819.69,1566.99,3298.84,504.30,-105458.34,6.11,8.73,2.40,20.00,6.00,10.00,11.00,13.20,169.37,29853.84,3
aggressive,ceres_8000,4,30400.00,15840.00,17625.92,10132.00,3195.60,3128.67,1466.67,4275.96,86064.81,40020.67,46044.14,15872.93,8700.00,1362.00,350.00,2226.67,425.52,2514.18,1200,0.00,307.07,32958.36,13085.79,1547.89,11537.89,1606.10,6994.28,4527.06,-100931.28,7.77,9.98,3.20,26.67,8.00,10.00,14.67,17.60,184.22,36848.12,3
aggressive,ceres_8000,5,38000.00,18720.00,18396.92,12665.00,3718.80,3910.83,1833.33,4835.52,102080.40,47563.96,54516.45,16018.26,8700.00,1394.40,350.00,2246.67,515.31,2959.76,1200,0.00,365.97,33750.37,20766.08,1620.85,19145.22,4152.91,7068.80,9594.35,-91336.93,9.43,11.23,4.00,33.33,10.00,12.00,18.33,22.00,201.97,43916.93,3
aggressive,ceres_8000,6,45600.00,21600.00,19167.92,15198.00,4242.00,4693.00,2200.00,5447.40,118148.32,55130.56,63017.76,16163.59,8700.00,1443.00,350.00,2266.67,638.27,3407.01,1200,550,424.88,35143.42,27874.33,2266.29,25608.05,25454.21,7068.80,-4586.19,-95923.12,11.09,12.47,4.80,40.00,12.00,15.00,22.00,26.40,222.63,50985.73,3
aggressive,ceres_8000,7,50666.67,23760.00,19938.92,20264.00,4621.20,5475.17,2566.67,6081.60,133374.22,62445.51,70928.71,16268.93,8700.00,1475.40,350.00,2286.67,728.07,3741.60,1200,550,482.27,35782.93,35145.78,2339.24,32806.53,4251.96,6886.34,24078.29,-71844.83,12.22,13.46,6.40,46.67,14.00,17.00,25.67,30.80,246.20,57872.07,3
aggressive,ceres_8000,8,55733.33,25920.00,20709.92,25330.00,5000.40,6257.33,2933.33,6753.72,148638.04,69773.72,78864.31,16374.26,8700.00,1507.80,350.00,2306.67,817.87,4077.41,1200,550,539.65,36423.66,42440.65,2412.20,40028.45,4299.41,6886.34,31334.06,-40510.77,13.35,14.44,8.00,53.33,16.00,19.00,29.33,35.20,271.87,64758.40,3
aggressive,ceres_8000,9,60800.00,28080.00,21480.92,30396.00,5379.60,7039.50,3300.00,7463.76,163939.78,77120.22,86819.56,16479.59,8700.00,1556.40,350.00,2326.67,940.83,4414.43,1200,550,597.04,37114.96,49704.60,2502.08,47202.52,5600.70,6886.34,37309.21,-3201.56,14.47,15.41,9.60,60.00,18.00,22.00,33.00,39.60,299.65,71644.74,3
aggressive,ceres_8000,10,65866.67,30240.00,22251.92,35462.00,5758.80,7821.67,3666.67,8211.72,179279.44,84474.98,94804.46,16584.93,8700.00,1588.80,350.00,2346.67,1030.62,4752.67,1200,550,654.43,37758.11,57046.35,2575.04,54471.31,4398.46,6886.34,45861.53,42659.97,15.60,16.40,11.20,66.67,20.00,24.00,36.67,44.00,329.54,78531.08,3
aggressive,ceres_8000,11,70933.33,32400.00,23022.92,40528.00,6138.00,8603.83,4033.33,8997.60,194657.02,91843.01,102814.00,16690.26,8700.00,1621.20,350.00,2366.67,1120.42,5092.12,1200,550,711.81,38402.47,64411.53,2647.99,61763.54,4445.90,6886.34,53187.60,95847.57,16.73,17.37,12.80,73.33,22.00,26.00,40.33,48.40,361.53,85417.41,3
aggressive,ceres_8000,12,76000.00,34560.00,23793.92,45594.00,6517.20,9386.00,4400.00,9821.40,210072.52,99229.32,110843.20,16795.59,8700.00,1669.80,350.00,2386.67,1243.38,5432.78,1200,550,769.20,39097.42,71745.78,2737.87,69007.91,5747.19,6886.34,59233.05,155080.62,17.85,18.36,14.40,80.00,24.00,29.00,44.00,52.80,395.63,92303.75,3
